Company,Symbol
ABB India Ltd.,ABB
ACC Ltd.,ACC
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Ambuja Cements Ltd.,AMBUJACEM
Ashok Leyland Ltd.,ASHOKLEY
Asian Paints Ltd.,ASIANPAINT
Aurobindo Pharma Ltd.,AUROPHARMA
Avenue Supermarts Ltd.,DMART
Axis Bank Ltd.,AXISBANK
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Finance Ltd.,BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Bandhan Bank Ltd.,BANDHANBNK
Bank of Baroda,BANKBARODA
Bharat Heavy Electricals Ltd.,BHEL
Bharat Petroleum Corporation Ltd.,BPCL
Bharti Airtel Ltd.,BHARTIARTL
Bharti Infratel Ltd.,INFRATEL
Biocon Ltd.,BIOCON
Bosch Ltd.,BOSCHLTD
Britannia Industries Ltd.,BRITANNIA
Cadila Healthcare Ltd.,CADILAHC
Cipla Ltd.,CIPLA
Coal India Ltd.,COALINDIA
Colgate Palmolive (India) Ltd.,COLPAL
Container Corporation of India Ltd.,CONCOR
DLF Ltd.,DLF
Dabur India Ltd.,DABUR
Divi's Laboratories Ltd.,DIVISLAB
Dr. Reddy's Laboratories Ltd.,DRREDDY
Eicher Motors Ltd.,EICHERMOT
GAIL (India) Ltd.,GAIL
General Insurance Corporation of India,GICRE
Godrej Consumer Products Ltd.,GODREJCP
Grasim Industries Ltd.,GRASIM
HCL Technologies Ltd.,HCLTECH
HDFC Asset Management Company Ltd.,HDFCAMC
HDFC Bank Ltd.,HDFCBANK
HDFC Life Insurance Company Ltd.,HDFCLIFE
Havells India Ltd.,HAVELLS
Hero MotoCorp Ltd.,HEROMOTOCO
Hindalco Industries Ltd.,HINDALCO
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Hindustan Unilever Ltd.,HINDUNILVR
Hindustan Zinc Ltd.,HINDZINC
Housing Development Finance Corporation Ltd.,HDFC
ICICI Bank Ltd.,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
ITC Ltd.,ITC
Indiabulls Housing Finance Ltd.,IBULHSGFIN
Indian Oil Corporation Ltd.,IOC
IndusInd Bank Ltd.,INDUSINDBK
Infosys Ltd.,INFY
InterGlobe Aviation Ltd.,INDIGO
JSW Steel Ltd.,JSWSTEEL
Kotak Mahindra Bank Ltd.,KOTAKBANK
L&T Finance Holdings Ltd.,L&TFH
Larsen & Toubro Ltd.,LT
Lupin Ltd.,LUPIN
MRF Ltd.,MRF
Mahindra & Mahindra Ltd.,M&M
Marico Ltd.,MARICO
Maruti Suzuki India Ltd.,MARUTI
Motherson Sumi Systems Ltd.,MOTHERSUMI
NHPC Ltd.,NHPC
NMDC Ltd.,NMDC
NTPC Ltd.,NTPC
Oil & Natural Gas Corporation Ltd.,ONGC
Oracle Financial Services Software Ltd.,OFSS
Page Industries Ltd.,PAGEIND
Petronet LNG Ltd.,PETRONET
Pidilite Industries Ltd.,PIDILITIND
Piramal Enterprises Ltd.,PEL
Power Grid Corporation of India Ltd.,POWERGRID
Procter & Gamble Hygiene & Health Care Ltd.,PGHH
Reliance Industries Ltd.,RELIANCE
SBI Life Insurance Company Ltd.,SBILIFE
Shree Cement Ltd.,SHREECEM
Shriram Transport Finance Co. Ltd.,SRTRANSFIN
Siemens Ltd.,SIEMENS
State Bank of India,SBIN
Steel Authority of India Ltd.,SAIL
Sun Pharmaceutical Industries Ltd.,SUNPHARMA
Tata Consultancy Services Ltd.,TCS
Tata Motors Ltd DVR,TATAMTRDVR
Tata Motors Ltd.,TATAMOTORS
Tata Steel Ltd.,TATASTEEL
Tech Mahindra Ltd.,TECHM
The New India Assurance Company Ltd.,NIACL
Titan Company Ltd.,TITAN
UPL Ltd.,UPL
UltraTech Cement Ltd.,ULTRACEMCO
United Breweries Ltd.,UBL
United Spirits Ltd.,MCDOWELL-N
Vedanta Ltd.,VEDL
Vodafone Idea Ltd.,IDEA
Wipro Ltd.,WIPRO
Yes Bank Ltd.,YESBANK
Zee Entertainment Enterprises Ltd.,ZEEL
