Company,Symbol
AU Small Finance Bank Ltd.,AUBANK.NS
Adani Power Ltd.,ADANIPOWER.NS
Aditya Birla Capital Ltd.,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,ABFRL.NS
Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS
Alkem Laboratories Ltd.,ALKEM.NS
Amara Raja Batteries Ltd.,AMARAJABAT.NS
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS
Apollo Tyres Ltd.,APOLLOTYRE.NS
Balkrishna Industries Ltd.,BALKRISIND.NS
Bank of India,BANKINDIA.NS
Bata India Ltd.,BATAINDIA.NS
Berger Paints India Ltd.,BERGEPAINT.NS
Bharat Electronics Ltd.,BEL.NS
Bharat Forge Ltd.,BHARATFORG.NS
Bombay Burmah Trading Corporation Ltd.,BBTC.NS
Canara Bank,CANBK.NS
Castrol India Ltd.,CASTROLIND.NS
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS
Coromandel International Ltd.,COROMANDEL.NS
Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS
Cummins India Ltd.,CUMMINSIND.NS
Dewan Housing Finance Corporation Ltd.,DHFL.NS
Dilip Buildcon Ltd.,DBL.NS
Dish TV India Ltd.,DISHTV.NS
Edelweiss Financial Services Ltd.,EDELWEISS.NS
Endurance Technologies Ltd.,ENDURANCE.NS
Engineers India Ltd.,ENGINERSIN.NS
Escorts Ltd.,ESCORTS.NS
Exide Industries Ltd.,EXIDEIND.NS
Federal Bank Ltd.,FEDERALBNK.NS
Future Consumer Ltd.,FCONSUMER.NS
Future Retail Ltd.,FRETAIL.NS
GMR Infrastructure Ltd.,GMRINFRA.NS
GlaxoSmithkline Consumer Healthcare Ltd.,GSKCONS.NS
Glenmark Pharmaceuticals Ltd.,GLENMARK.NS
Godrej Agrovet Ltd.,GODREJAGRO.NS
Godrej Industries Ltd.,GODREJIND.NS
Graphite India Ltd.,GRAPHITE.NS
Gruh Finance Ltd.,GRUH.NS
Gujarat State Petronet Ltd.,GSPL.NS
H.E.G. Ltd.,HEG.NS
Hexaware Technologies Ltd.,HEXAWARE.NS
Housing & Urban Development Corporation Ltd.,HUDCO.NS
IDBI Bank Ltd.,IDBI.NS
IDFC First Bank Ltd.,IDFCFIRSTB.NS
Indiabulls Ventures Ltd.,IBVENTURES.NS
Indian Bank,INDIANB.NS
Indian Hotels Co. Ltd.,INDHOTEL.NS
Indraprastha Gas Ltd.,IGL.NS
Info Edge (India) Ltd.,NAUKRI.NS
JSW Energy Ltd.,JSWENERGY.NS
Jindal Steel & Power Ltd.,JINDALSTEL.NS
Jubilant Foodworks Ltd.,JUBLFOOD.NS
Jubilant Life Sciences Ltd.,JUBILANT.NS
L&T Technology Services Ltd.,LTTS.NS
LIC Housing Finance Ltd.,LICHSGFIN.NS
Larsen & Toubro Infotech Ltd.,LTI.NS
Mahanagar Gas Ltd.,MGL.NS
Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS
Manappuram Finance Ltd.,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS
Max Financial Services Ltd.,MFSL.NS
MindTree Ltd.,MINDTREE.NS
MphasiS Ltd.,MPHASIS.NS
Muthoot Finance Ltd.,MUTHOOTFIN.NS
NATCO Pharma Ltd.,NATCOPHARM.NS
NBCC (India) Ltd.,NBCC.NS
National Aluminium Co. Ltd.,NATIONALUM.NS
Oberoi Realty Ltd.,OBEROIRLTY.NS
Oil India Ltd.,OIL.NS
PI Industries Ltd.,PIIND.NS
PNB Housing Finance Ltd.,PNBHOUSING.NS
Pfizer Ltd.,PFIZER.NS
Power Finance Corporation Ltd.,PFC.NS
Prestige Estates Projects Ltd.,PRESTIGE.NS
Punjab National Bank,PNB.NS
Quess Corp Ltd.,QUESS.NS
RBL Bank Ltd.,RBLBANK.NS
REC Ltd.,RECLTD.NS
Rajesh Exports Ltd.,RAJESHEXPO.NS
Reliance Capital Ltd.,RELCAPITAL.NS
Reliance Infrastructure Ltd.,RELINFRA.NS
Reliance Power Ltd.,RPOWER.NS
SRF Ltd.,SRF.NS
Sterlite Technologies Ltd.,STRTECH.NS
Sun Pharma Advanced Research Company Ltd.,SPARC.NS
Sun TV Network Ltd.,SUNTV.NS
Syngene International Ltd.,SYNGENE.NS
TVS Motor Company Ltd.,TVSMOTOR.NS
Tata Chemicals Ltd.,TATACHEM.NS
Tata Global Beverages Ltd.,TATAGLOBAL.NS
Tata Power Co. Ltd.,TATAPOWER.NS
The Ramco Cements Ltd.,RAMCOCEM.NS
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS
Torrent Power Ltd.,TORNTPOWER.NS
Union Bank of India,UNIONBANK.NS
V-Guard Industries Ltd.,VGUARD.NS
Varroc Engineering Ltd.,VARROC.NS
Voltas Ltd.,VOLTAS.NS
