Company,Symbol
ACC Ltd.,ACC.NS
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS
Adani Power Ltd.,ADANIPOWER.NS
Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS
Allahabad Bank,ALBK.NS
Amara Raja Batteries Ltd.,AMARAJABAT.NS
Ambuja Cements Ltd.,AMBUJACEM.NS
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS
Apollo Tyres Ltd.,APOLLOTYRE.NS
Ashok Leyland Ltd.,ASHOKLEY.NS
Asian Paints Ltd.,ASIANPAINT.NS
Aurobindo Pharma Ltd.,AUROPHARMA.NS
Axis Bank Ltd.,AXISBANK.NS
BEML Ltd.,BEML.NS
Bajaj Auto Ltd.,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,BAJFINANCE.NS
Bajaj Finserv Ltd.,BAJAJFINSV.NS
Balkrishna Industries Ltd.,BALKRISIND.NS
Bank of Baroda,BANKBARODA.NS
Bank of India,BANKINDIA.NS
Bata India Ltd.,BATAINDIA.NS
Berger Paints India Ltd.,BERGEPAINT.NS
Bharat Electronics Ltd.,BEL.NS
Bharat Forge Ltd.,BHARATFORG.NS
Bharat Heavy Electricals Ltd.,BHEL.NS
Bharat Petroleum Corporation Ltd.,BPCL.NS
Bharti Airtel Ltd.,BHARTIARTL.NS
Bharti Infratel Ltd.,INFRATEL.NS
Biocon Ltd.,BIOCON.NS
Bosch Ltd.,BOSCHLTD.NS
Britannia Industries Ltd.,BRITANNIA.NS
CG Power and Industrial Solutions Ltd.,CGPOWER.NS
Cadila Healthcare Ltd.,CADILAHC.NS
Can Fin Homes Ltd.,CANFINHOME.NS
Canara Bank,CANBK.NS
Castrol India Ltd.,CASTROLIND.NS
Ceat Ltd.,CEATLTD.NS
Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS
Cipla Ltd.,CIPLA.NS
Coal India Ltd.,COALINDIA.NS
Colgate Palmolive (India) Ltd.,COLPAL.NS
Container Corporation of India Ltd.,CONCOR.NS
Cummins India Ltd.,CUMMINSIND.NS
DCB Bank Ltd.,DCBBANK.NS
DLF Ltd.,DLF.NS
Dabur India Ltd.,DABUR.NS
Dewan Housing Finance Corporation Ltd.,DHFL.NS
Dish TV India Ltd.,DISHTV.NS
Divi's Laboratories Ltd.,DIVISLAB.NS
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS
Eicher Motors Ltd.,EICHERMOT.NS
Engineers India Ltd.,ENGINERSIN.NS
Equitas Holdings Ltd.,EQUITAS.NS
Escorts Ltd.,ESCORTS.NS
Exide Industries Ltd.,EXIDEIND.NS
Federal Bank Ltd.,FEDERALBNK.NS
GAIL (India) Ltd.,GAIL.NS
GMR Infrastructure Ltd.,GMRINFRA.NS
Glenmark Pharmaceuticals Ltd.,GLENMARK.NS
Godfrey Phillips India Ltd.,GODFRYPHLP.NS
Godrej Consumer Products Ltd.,GODREJCP.NS
Godrej Industries Ltd.,GODREJIND.NS
Grasim Industries Ltd.,GRASIM.NS
Gujarat State Fertilizers & Chemicals Ltd.,GSFC.NS
HCL Technologies Ltd.,HCLTECH.NS
HDFC Bank Ltd.,HDFCBANK.NS
Havells India Ltd.,HAVELLS.NS
Hero MotoCorp Ltd.,HEROMOTOCO.NS
Hexaware Technologies Ltd.,HEXAWARE.NS
Hindalco Industries Ltd.,HINDALCO.NS
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS
Hindustan Unilever Ltd.,HINDUNILVR.NS
Hindustan Zinc Ltd.,HINDZINC.NS
Housing Development Finance Corporation Ltd.,HDFC.NS
I T C Ltd.,ITC.NS
ICICI Bank Ltd.,ICICIBANK.NS
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS
IDBI Bank Ltd.,IDBI.NS
IDFC First Bank Ltd.,IDFCFIRSTB.NS
IDFC Ltd.,IDFC.NS
IFCI Ltd.,IFCI.NS
IRB Infrastructure Developers Ltd.,IRB.NS
India Cements Ltd.,INDIACEM.NS
Indiabulls Housing Finance Ltd.,IBULHSGFIN.NS
Indian Bank,INDIANB.NS
Indian Oil Corporation Ltd.,IOC.NS
Indraprastha Gas Ltd.,IGL.NS
IndusInd Bank Ltd.,INDUSINDBK.NS
Infibeam Avenues Ltd.,INFIBEAM.NS
Infosys Ltd.,INFY.NS
InterGlobe Aviation Ltd.,INDIGO.NS
JSW Steel Ltd.,JSWSTEEL.NS
Jain Irrigation Systems Ltd.,JISLJALEQS.NS
Jet Airways (India) Ltd.,JETAIRWAYS.NS
Jindal Steel & Power Ltd.,JINDALSTEL.NS
Jubilant Foodworks Ltd.,JUBLFOOD.NS
Justdial Ltd.,JUSTDIAL.NS
Kajaria Ceramics Ltd.,KAJARIACER.NS
Karnataka Bank Ltd.,KTKBANK.NS
Kaveri Seed Company Ltd.,KSCL.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
L&T Finance Holdings Ltd.,L&TFH.NS
LIC Housing Finance Ltd.,LICHSGFIN.NS
Larsen & Toubro Ltd.,LT.NS
Lupin Ltd.,LUPIN.NS
MRF Ltd.,MRF.NS
Mahanagar Gas Ltd.,MGL.NS
Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS
Mahindra & Mahindra Ltd.,M&M.NS
Manappuram Finance Ltd.,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS
Marico Ltd.,MARICO.NS
Maruti Suzuki India Ltd.,MARUTI.NS
Max Financial Services Ltd.,MFSL.NS
MindTree Ltd.,MINDTREE.NS
Motherson Sumi Systems Ltd.,MOTHERSUMI.NS
Muthoot Finance Ltd.,MUTHOOTFIN.NS
NBCC (India) Ltd.,NBCC.NS
NCC Ltd.,NCC.NS
NHPC Ltd.,NHPC.NS
NIIT Technologies Ltd.,NIITTECH.NS
NMDC Ltd.,NMDC.NS
NTPC Ltd.,NTPC.NS
National Aluminium Co. Ltd.,NATIONALUM.NS
Oil & Natural Gas Corporation Ltd.,ONGC.NS
Oil India Ltd.,OIL.NS
Oracle Financial Services Software Ltd.,OFSS.NS
Oriental Bank of Commerce,ORIENTBANK.NS
PC Jeweller Ltd.,PCJEWELLER.NS
PVR Ltd.,PVR.NS
Page Industries Ltd.,PAGEIND.NS
Petronet LNG Ltd.,PETRONET.NS
Pidilite Industries Ltd.,PIDILITIND.NS
Piramal Enterprises Ltd.,PEL.NS
Power Finance Corporation Ltd.,PFC.NS
Power Grid Corporation of India Ltd.,POWERGRID.NS
Punjab National Bank,PNB.NS
RBL Bank Ltd.,RBLBANK.NS
REC Ltd.,RECLTD.NS
Raymond Ltd.,RAYMOND.NS
Reliance Capital Ltd.,RELCAPITAL.NS
Reliance Industries Ltd.,RELIANCE.NS
Reliance Infrastructure Ltd.,RELINFRA.NS
Reliance Power Ltd.,RPOWER.NS
Repco Home Finance Ltd.,REPCOHOME.NS
SRF Ltd.,SRF.NS
Shree Cement Ltd.,SHREECEM.NS
Shriram Transport Finance Co. Ltd.,SRTRANSFIN.NS
Siemens Ltd.,SIEMENS.NS
South Indian Bank Ltd.,SOUTHBANK.NS
State Bank of India,SBIN.NS
Steel Authority of India Ltd.,SAIL.NS
Strides Pharma Science Ltd.,STAR.NS
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS
Sun TV Network Ltd.,SUNTV.NS
Suzlon Energy Ltd.,SUZLON.NS
Syndicate Bank,SYNDIBANK.NS
TV18 Broadcast Ltd.,TV18BRDCST.NS
TVS Motor Company Ltd.,TVSMOTOR.NS
Tata Chemicals Ltd.,TATACHEM.NS
Tata Consultancy Services Ltd.,TCS.NS
Tata Elxsi Ltd.,TATAELXSI.NS
Tata Global Beverages Ltd.,TATAGLOBAL.NS
Tata Motors Ltd DVR,TATAMTRDVR.NS
Tata Motors Ltd.,TATAMOTORS.NS
Tata Power Co. Ltd.,TATAPOWER.NS
Tata Steel Ltd.,TATASTEEL.NS
Tech Mahindra Ltd.,TECHM.NS
The Ramco Cements Ltd.,RAMCOCEM.NS
Titan Company Ltd.,TITAN.NS
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS
Torrent Power Ltd.,TORNTPOWER.NS
UPL Ltd.,UPL.NS
Ujjivan Financial Services Ltd.,UJJIVAN.NS
UltraTech Cement Ltd.,ULTRACEMCO.NS
Union Bank of India,UNIONBANK.NS
United Breweries Ltd.,UBL.NS
United Spirits Ltd.,MCDOWELL-N.NS
V-Guard Industries Ltd.,VGUARD.NS
Vedanta Ltd.,VEDL.NS
Vodafone Idea Ltd.,IDEA.NS
Voltas Ltd.,VOLTAS.NS
Wipro Ltd.,WIPRO.NS
Wockhardt Ltd.,WOCKPHARMA.NS
Yes Bank Ltd.,YESBANK.NS
Zee Entertainment Enterprises Ltd.,ZEEL.NS
